episode_number,episode_reward,average_reward,revenue,epsilon_value,training_loss,replay_buffer_size
0,4285.857281399931,4285.857281399931,12276.183778242392,,,30
1,10251.62511521357,7268.74119830675,11810.494888162104,,,50
2,14746.401324101991,9761.294573571831,15203.389317335692,,,71
3,17061.472852284143,11586.339143249908,17090.531197143002,,,96
4,5329.960698124597,10335.063454224846,12899.107489181031,,,126
5,17253.549851830092,11488.144520492388,17426.385462611943,,,156
6,-5542.182906477275,9055.240602353864,7720.435551427588,,,186
7,11015.905493101749,9300.32371369735,12247.291457799742,,,208
8,7628.129123940661,9114.524314835495,14758.607281255161,,,238
9,9815.894752713937,9184.66135862334,11563.282754998187,,,263
10,16067.61181398276,9810.384127292376,17814.918296615208,,,293
11,20493.660566773666,10700.65716391582,19971.8604337665,,,322
12,18897.845309216482,11331.210098169715,18589.29856711379,,,350
13,14092.437337452197,11528.440615261321,14701.570022874548,,,374
14,9153.9399825898,11370.14057308322,11059.449989156048,,,393
15,15795.08270931144,11646.699456597482,15932.519530736015,,,419
16,-9563.568185799999,10399.036654103513,5641.761326700001,,,449
17,6844.358469542294,10201.554532739001,13204.50908308535,,,479
18,18533.33251531395,10640.06916340084,18335.363106399636,,,507
19,16194.276766535515,10917.779543557574,16285.310835568345,,,534
20,18590.644356834786,11283.154058475537,18378.63807657383,,,558
21,9799.68030773846,11215.723433442034,15668.142811033842,,,588
22,7019.056575397823,11033.259657005328,9483.312469670753,,,609
23,16984.859134166105,11281.242968553692,17004.089570775293,,,637
24,8910.831035307128,11186.42649122383,10921.891330689272,,,656
25,10404.659593979752,11156.35853363752,11875.868951664663,,,677
26,13488.321114811637,11242.72751812545,17362.87802122228,,,707
27,7606.65643710024,11112.867836660265,14301.380351509626,,,737
28,7069.574820657209,10973.443939556711,14387.453643247025,,,767
29,13935.222591279693,11072.169894614144,14601.564058444568,,,792
30,614.857498625368,10734.837236679023,10971.318667265368,,,822
31,5252.603298312119,10563.517426105056,13220.317152325584,,,852
32,10697.31067781634,10567.571767066003,12556.35786942122,,,879
33,16870.436217456947,10752.950133253973,18010.511649639604,,,909
34,8654.495311435685,10692.994281202022,10627.491264039785,,,932
35,1078.0329947167666,10425.912023244098,12044.140494716768,,,962
36,13377.245570373198,10505.677794788127,17687.041490211235,,,992
37,9389.434709970888,10476.302976766621,11116.49598201877,,,1013
38,17637.98391025073,10659.935821214931,18448.289233967866,,,1043
39,2630.0354056663673,10459.18831082622,11696.965620517161,,,1073
40,16596.961973222602,10608.890107470033,16931.75777378207,,,1100
41,1839.675408344321,10400.099281300374,11628.223941160226,,,1130
42,8553.982732656848,10357.166338308663,10697.488411305585,,,1148
43,15998.471218318,10485.377812854329,16091.753928714566,,,1172
44,16687.91523985268,10623.211977898736,16691.53632124928,,,1195
45,-1689.3279750654583,10355.548065877776,10327.272024934542,,,1225
46,18251.68295889361,10523.550935941943,19406.3910734731,,,1255
47,-282.1572125631792,10298.43201618142,11105.242787436817,,,1285
48,14664.735651068173,10387.540253628089,14941.533229524906,,,1309
49,15114.140989817011,10482.072268351867,15434.883452689228,,,1335
50,14956.665930043535,10569.809398973272,15189.753272228156,,,1360
51,-15102.0961804,10076.118907062248,2768.1038196000004,,,1390
52,13728.96040262655,10145.040444714405,16944.13026046857,,,1420
53,7521.143316835062,10096.449757161083,10039.957187223983,,,1440
54,13557.368982349206,10159.37556125541,17605.051851602242,,,1470
55,11740.18937083142,10187.604379283555,15903.649397935525,,,1500
56,18512.617503380297,10333.657241109813,18102.304595067162,,,1530
57,20867.1538365511,10515.269251376043,20427.193654595412,,,1559
58,770.4480239616114,10350.102789894443,12331.04802396161,,,1589
59,16204.107428202555,10447.669533866245,16267.680761791637,,,1612
60,7695.88768289185,10402.558355981417,14813.77101622519,,,1642
61,12628.257630546103,10438.456731377622,13451.874491395774,,,1667
62,14733.684317973039,10506.634947037868,18087.5091699163,,,1697
63,-11928.583203405287,10156.084663437194,4916.016796594714,,,1727
64,13958.817820567689,10214.58825046997,18025.192878083453,,,1757
65,5864.043881504746,10148.670911546255,8812.493567675598,,,1776
66,16493.717800292092,10243.373103915595,16532.7503950737,,,1800
67,19240.12736982084,10375.67831370832,18884.64276767021,,,1830
68,20348.13280123379,10520.206639614486,20013.02833508262,,,1859
69,10316.187545425786,10517.292081126077,11749.46788400419,,,1879
70,15437.300046161425,10586.587967957561,15870.198177312845,,,1905
71,18939.356857640756,10702.598646980936,18640.802429594652,,,1929
72,13308.277517271792,10738.292878080812,15758.656574156352,,,1959
73,14971.58476807088,10795.49952524284,15267.965671134883,,,1982
74,16678.424072565387,10873.93851920714,16705.043356814585,,,2007
75,10985.385401815905,10875.404925557255,12695.508951309706,,,2032
76,13935.816765346784,10915.15053386621,14409.82520176951,,,2056
77,2557.187626157127,10807.997163254555,12741.787626157124,,,2086
78,16695.85555143642,10882.527016269514,16612.447925487628,,,2116
79,18091.78604521468,10972.642754131331,17922.81981008449,,,2141
80,14799.628167469302,11019.88948762933,15476.381219678331,,,2170
81,17195.714488160433,11095.204426660199,17267.760954608835,,,2198
82,-5546.779199595394,10894.69859983784,8244.420800404603,,,2228
83,10786.586289853558,10893.411548528504,12101.519596311718,,,2249
84,15672.112608980871,10949.631561004415,15879.528961653717,,,2275
85,8432.124595653588,10920.35822419801,10539.631896599938,,,2298
86,6972.399445171911,10874.97938765748,9724.2150968097,,,2321
87,15159.813926937244,10923.670689240204,15441.352895312466,,,2344
88,10259.495703768062,10916.208048954,11710.636680867861,,,2367
89,14026.73084290943,10950.769413331283,16842.542996730794,,,2397
90,21696.071524449573,11068.849656310605,21190.051467165544,,,2425
91,14547.187956997894,11106.657681318076,15126.05890443605,,,2449
92,13919.531076399106,11136.90363180282,17104.460904122272,,,2479
93,10507.552752133763,11130.20840967868,12080.240806020267,,,2502
94,-3358.080222914876,10977.700108282957,8998.871953458458,,,2532
95,11695.746907002582,10985.179762436286,12868.548602090417,,,2555
96,-3686.3870003795673,10833.926496840246,9297.079666287098,,,2585
97,13761.636711297326,10863.801090865318,14286.15775177088,,,2610
98,-10366.844987790006,10649.350120373849,5680.555012209997,,,2640
99,-4559.838905656497,10497.258230113546,8819.1610943435,,,2670
100,14416.754633810024,10598.56720363765,15211.838800885957,,,2695
101,15363.001948614085,10649.680971971655,15703.033534094186,,,2725
102,3021.033082790269,10532.427289558535,12398.273082790267,,,2755
103,7119.038524099403,10433.00294627669,9732.097229240326,,,2772
104,17161.534655257798,10551.318685848022,17283.87165060107,,,2801
105,14871.408354711946,10527.49727087684,15182.24188871023,,,2825
106,18934.635100727264,10772.265450948884,18572.812417836387,,,2853
107,10097.203064237894,10763.078426660248,11648.623346654607,,,2877
108,15795.263730572822,10844.749772726567,15942.731288060886,,,2903
109,18550.42090921542,10932.095034291584,18902.43985085092,,,2933
110,9561.348618447786,10867.032402336234,11283.365778260706,,,2953
111,10872.626156933007,10770.822058237825,12163.717964502091,,,2974
112,17538.297672187153,10757.226581867535,17449.31090153198,,,2999
113,-13280.736905679998,10483.49483943621,3979.8630943200005,,,3029
114,14878.977951545101,10540.745219125763,16739.473446290784,,,3059
115,15610.674311343086,10538.901135146083,19065.07431134309,,,3089
116,9444.147190491174,10728.978288908991,14075.0244582231,,,3119
117,4497.183110050124,10705.506535314073,13852.583110050127,,,3149
118,17170.707336020798,10691.88028352114,17487.54200855494,,,3179
119,9692.027594822417,10626.85779180401,11365.570636808523,,,3199
120,13150.235110780202,10572.453699343463,13847.623442647202,,,3225
121,14338.227579329841,10617.839172059377,15245.317626511516,,,3251
122,7465.25662447872,10622.301172550186,14225.283300250685,,,3281
123,12752.521693064904,10579.977798139174,13901.968307917808,,,3305
124,18147.7629685607,10672.347117471709,17845.807785732504,,,3334
125,15004.740607005637,10718.347927601968,15805.32133715701,,,3358
126,7254.92773653551,10656.013993819208,14773.350734941285,,,3388
127,8210.549549997093,10662.052924948173,15182.565129216457,,,3418
128,4414.099722499197,10635.498173966596,13328.599722499197,,,3448
