episode_number,episode_reward,average_reward,revenue,epsilon_value,training_loss,replay_buffer_size
0,8493.297343475251,8493.297343475251,10589.273081133424,,,21
1,11178.49670538294,9835.897024429096,15512.255286425032,,,51
2,10910.20614457971,10194.000064479302,12302.80744944471,,,70
3,14152.88834156726,11183.722133751291,14629.088432714723,,,92
4,-3296.9073499801725,8287.596237004998,9290.092650019827,,,122
5,12343.581359401878,8963.593757404478,13431.925206679914,,,141
6,932.721680243234,7816.326317810015,11519.454907650896,,,171
7,13727.807499389439,8555.261465507443,14327.716554152057,,,195
8,225.5976573767948,7629.743264604038,9408.91615932248,,,225
9,17215.048411191015,8588.273779262736,17081.063946947103,,,255
10,14045.83372360165,9084.415592384456,14608.904538020515,,,283
11,6775.944890199822,8892.04303386907,9344.58275957791,,,304
12,12114.556541229866,9139.928688281438,13108.084522514342,,,330
13,900.227853489916,8551.378628653472,10288.177985428856,,,360
14,17313.667032801382,9135.53118893,17316.307153308484,,,387
15,1047.2629541787264,8630.014424258045,11028.149268806406,,,417
16,20453.09659677721,9325.489846170936,19970.63091779085,,,446
17,14536.705827516565,9615.001845134582,16502.634289625094,,,476
18,9060.413096541572,9585.812963629687,10866.603448774555,,,500
19,10131.075474783953,9613.0760891874,15447.802807142354,,,530
20,8002.692436772809,9536.391153358134,10319.8836531372,,,549
21,17909.78293176704,9916.999870558539,17783.538195979047,,,575
22,10083.951552047492,9924.258639318929,11668.662909579363,,,597
23,17984.435999680758,10260.099362667339,17812.919101378175,,,625
24,15038.569582899378,10451.23817147662,17924.704329266704,,,655
25,16374.394163919982,10679.05186349367,18595.548047795364,,,685
26,11923.34658257074,10725.136853089118,13060.046931438079,,,706
27,15068.47093728575,10880.255927524713,17661.59503062936,,,736
28,-11024.71484096055,10124.912107921771,5426.48515903945,,,766
29,179.12317201803125,9793.385810058313,10956.809630898031,,,796
30,15028.038519931204,9962.245574892922,15746.660493641311,,,825
31,11463.671815745567,10009.16514491957,12780.838372704795,,,849
32,-2743.225235566233,9622.729072783637,9844.874764433767,,,879
33,3780.67948669595,9450.90408495753,12924.124150202357,,,909
34,9526.900949457291,9453.075423943237,11228.311610134597,,,932
35,9545.655478267621,9455.647092118916,11289.302352312649,,,953
36,11523.507359827381,9511.535207462388,16470.958973565692,,,983
37,10822.307414999888,9546.0292129239,12172.5600524669,,,1006
38,8748.908460199218,9525.590219264293,10726.781900684058,,,1027
39,12277.185691622324,9594.38010607324,13536.850043168515,,,1056
