episode,reward,revenue
1,17107.137466591605,17015.998662635066
2,14139.396303632218,15031.781589985385
3,1098.6850439973496,11859.430110664016
4,13915.267726687618,14738.174271317754
5,13402.861927117507,14049.844161525443
6,18210.45207327262,17881.075611732136
7,16347.59344263512,16323.168046644358
8,14096.622368993945,14672.906882458674
9,12152.762293701064,16091.89732153328
10,13642.54904065671,14327.571915066903
11,10995.593223186906,12335.892830194758
12,15206.593055060817,15871.438252793554
13,17576.743397945185,17610.333493752114
14,10945.848346696544,16006.501555567926
15,-1375.9172426974528,9597.428400814082
16,9589.9237725042,11393.333466902732
17,15700.00208007084,15688.262813085617
18,16767.53114444529,16657.8760176726
19,14556.01335245225,15063.709791154199
20,16408.806253369323,18235.520688193166
21,16474.919638048883,18037.693308833845
22,6986.259155962531,9601.669007164233
23,19217.705732948973,18983.498278637257
24,11100.591889572312,15252.736366163208
25,12184.967433523701,13104.621508779699
26,8633.399778019098,14847.962902871328
27,9825.028761586478,11482.204390226356
28,7685.762267031614,10169.856252477437
29,15236.611790770205,16801.9189653699
30,13478.636589221198,14165.614598098913
31,-5198.860693919716,8384.739306080282
32,13283.165051654441,17383.029422830798
33,9111.64330848375,10979.392480718863
34,16843.875933614276,16862.96932285727
35,10414.762948505237,11863.86936908922
36,19441.890488805333,19149.21936648228
37,-332.7802734921679,10239.538620715837
38,-9078.203839236843,6566.596160763158
39,-2196.2462763327894,10009.353723667207
40,18287.599643424714,18367.89808694766
41,11799.723734148545,12865.229041301756
42,12960.579568783098,17544.88471319786
43,14362.721070647089,19473.52107064709
44,16685.91302072757,16639.04533218872
45,10989.964903948527,12720.826401389173
46,11197.504278758552,12696.660243615934
47,15148.089991160437,15489.451375328188
48,-7343.16505308202,7053.534946917979
49,12979.876776957806,13765.00269559182
50,7740.407961937657,10129.05238275742
51,9774.476193051642,11571.438485682133
52,9173.283016460766,11003.631342193981
53,16761.183271335267,16809.763005749206
54,8386.46168713463,10675.623776545448
55,16078.685401273631,16246.004828289171
56,2532.7643417529125,12721.364966752912
57,16402.943154888497,16941.33702281165
58,9485.736591766728,16804.136591766735
59,5455.362131215849,13014.473607031821
60,2377.4253753287394,11365.211472342726
61,10714.387319886397,12170.574168606421
62,-8021.199036697601,7191.000963302402
