episode_number,policy_name,revenue,reward,inventory_remaining,selling_price
0,Random,7084.269045663999,-6714.690954336,71,369.40714517489215
1,Random,13538.654121504776,12654.71926253779,0,140.28600715914567
2,Random,13371.888057093403,5630.525005185501,41,239.64229408848522
3,Random,15412.860979686488,15301.965543190567,0,163.5308041114992
4,Random,17027.316682322933,16082.484733081748,6,187.43125851826042
5,Random,11669.91938472279,10155.634537877026,0,123.25841049960066
6,Random,17098.738428763783,10769.07718051969,34,279.383495100767
7,Random,8139.543163159591,4822.509190387648,0,84.46576985778205
8,Random,11681.601490631976,9970.765322319432,0,125.14682524228344
9,Random,15378.948706091454,15047.9485799398,0,161.314915630684
10,Random,12010.769775869821,10346.479749755441,0,154.31186864721317
11,Random,19883.18935318486,20210.049398057938,0,207.6817230263487
12,Random,8829.99517774488,-4994.0048222551195,71,329.2444671812244
13,Random,15444.557677979981,10198.794882255434,28,254.83983921440878
14,Random,15153.447319697494,14674.580775424804,0,158.3587064989145
15,Random,7634.377876136198,-5143.179356533594,66,296.26348850842317
16,Random,12029.331409571332,10459.013072815795,0,126.57861024211996
17,Random,12520.12781837964,3427.678516272872,48,320.38163760520075
18,Random,14633.913639648912,6709.061109624378,42,266.49739356408423
19,Random,14751.23401244217,14215.283810254772,0,159.40957995004987
20,Random,13720.261538503912,13065.55303520616,0,140.11099145446266
21,Random,19620.456566741334,15340.22902350613,24,265.8490848032882
22,Random,10585.11666328803,-1179.4833367119681,61,323.0786586093461
23,Random,13123.91875404937,12185.567279612778,0,140.47742598824473
24,Random,20131.220611253702,17428.79110460308,16,258.4899629151339
25,Random,14618.530745287342,14252.434203015908,0,150.34103877349455
26,Random,16989.008980340142,17095.506149157995,0,176.3721755885671
27,Random,5156.281428953252,-11484.318571046751,85,464.045606922846
28,Random,18231.65076312522,18358.773140298516,0,199.44851017938106
29,Random,19687.914288035885,20007.256117347028,1,201.45106428768875
30,Random,6385.372415604572,-7247.098497114176,70,344.24853526227764
31,Random,18381.36249604418,18748.001874855094,0,193.8339615993172
32,Random,14211.456642861405,13614.67561531362,0,151.3261887095001
33,Random,19460.695436285434,19802.622026948757,0,203.6007516954313
34,Random,14570.623084686304,8436.544161178812,33,236.65327717583452
35,Random,6582.916679769031,-8856.283320230968,79,353.8001256248334
36,Random,14675.950335231759,9800.119345499646,26,266.95098649223365
37,Random,14414.368499804688,13916.616465024632,0,150.8491263095581
38,Random,18790.58198364672,17232.526639966916,10,215.6318338413047
39,Random,20125.260546902482,20345.087160232142,0,209.26190166466264
40,Random,15557.805985317988,15370.307223846903,0,159.8841097396083
41,Random,12031.643410118437,10472.375671010152,0,124.04319326006922
42,Random,17742.8939975947,17936.19317505493,0,175.3906275965742
