episode_number,policy_name,revenue,reward,inventory_remaining,selling_price
0,Random,5616.030960323793,-9998.36903967621,80,401.17182479047096
1,Random,17424.024363106484,13334.37360993492,23,234.04296586234625
2,Random,18217.00604322634,16875.005295209718,9,208.24962042882623
3,Random,19613.07553808857,19874.763222633712,1,205.7001708652123
4,Random,12645.912395892296,11408.623377894712,0,136.6683392382936
5,Random,16996.837840253782,17063.24346595755,0,180.07632598460015
6,Random,9697.395345496465,-3060.739285756874,66,381.4819903774391
7,Random,15543.043012883254,9240.767587760483,34,242.8076187762044
8,Random,15662.778424117134,15013.012017133642,0,175.66018095966828
9,Random,11079.920419800956,8767.311525353547,0,135.03352019826997
10,Random,18342.05322767409,17686.28774168569,5,204.2874234552052
11,Random,13004.810300121584,11995.881720301644,0,144.63941352755825
12,Random,16162.447941441998,14950.42183052492,7,232.93293050608992
13,Random,19512.850862531828,18248.87557013265,9,224.7912495848801
14,Random,14823.476043332865,10529.009447208398,21,220.2357208632976
15,Random,13415.654360634917,12549.473041893987,0,137.0410818132039
16,Random,18337.06011833034,18679.23108509249,0,185.11124703604483
17,Random,13208.745709331242,6075.488727451723,38,313.8227745569933
18,Random,16110.534683901364,15341.589486621546,0,188.0985417776428
19,Random,14599.35084689733,8636.552530167512,32,226.73333553556648
20,Random,13004.791714985293,11710.357396036692,0,144.69737745955427
21,Random,21642.189120054358,22171.670975937428,0,223.7339819530776
22,Random,16307.563045360988,11226.47554347221,28,243.81774992046405
23,Random,18973.725818996507,18099.32545610815,7,208.93702392640543
24,Random,13681.20776841478,13012.555596122227,0,142.33808118961
25,Random,17206.48072155356,17408.04080617576,0,173.5611919013451
26,Random,15203.08125685415,14579.169690796303,0,176.85881247565862
27,Random,14880.751345251225,14419.462900010694,0,162.84070902334008
28,Random,16952.697174739493,16991.664908559855,0,176.5179036913599
29,Random,14660.079572266926,7491.978801819824,38,263.0197255453337
30,Random,15951.868896242246,15913.651205690652,0,169.28590126416273
31,Random,15411.697342632164,14917.575665073942,0,173.24928893500163
32,Random,12862.738841040968,3260.538841040965,50,274.65279870083816
33,Random,12122.293156406156,10682.71868405611,0,130.1719923309997
34,Random,17347.776405747914,17531.624107800308,0,177.96704057722647
35,Random,13934.467690093545,13159.627163847292,0,150.04462366909164
36,Random,19499.28840518657,19550.100409647977,0,221.22637946173623
37,Random,9406.296223492987,6540.912588757626,0,104.87907429225832
38,Random,16301.91007080396,16324.136899562594,0,160.80589928547963
39,Random,19745.654439727667,18583.002430357068,8,226.91871905649384
40,Random,16391.91053400197,16199.835879039214,0,167.95419662514956
41,Random,13871.577488514586,12751.11130046101,0,149.71061977625556
42,Random,18357.45641140765,15482.959443326605,17,256.86473275954233
43,Random,12384.555260023655,3693.435215023652,46,291.5729644325929
44,Random,12474.738134071891,11309.55424419686,0,126.423058349086
45,Random,12047.07030224468,10310.56961545471,0,135.48647810768614
46,Random,18399.703823192176,18733.38158429757,0,192.7128537531705
47,Random,13400.894666896758,12287.446578624114,0,145.8365585108161
48,Random,18671.290641315507,18513.598143779192,3,198.0229861521971
49,Random,14223.315794820845,13454.396809378166,0,155.14715479358622
50,Random,18822.34774332082,18383.03955964278,4,219.93783419226017
51,Random,14928.868385764352,14197.415262079314,0,166.9608415612032
52,Random,14018.429583469304,5236.1795834693,46,271.57280163205763
53,Random,12375.12874028724,5013.950352936387,39,268.6108509336681
54,Random,15538.585750372911,7183.185750372918,44,297.40064449201367
55,Random,12143.57679374296,10894.89999177028,0,123.95795808391932
56,Random,14742.237285062783,14032.40801187078,0,163.88038445556015
57,Random,13512.45513585568,12831.037529974445,0,139.85715837878652
58,Random,6259.716198418378,-8335.475560499257,75,346.3132960689871
59,Random,17095.09440699806,13581.681453006477,20,239.2243144094453
60,Random,19462.10077808405,19860.528474379324,0,196.401118919988
61,Random,7881.784038127999,-5487.549295205332,69,390.342992967113
62,Random,8561.844179784373,-4623.155820215628,68,315.9310481373328
63,Random,11414.18648955426,14.106489554256768,59,301.2539326462039
64,Random,9436.288473388631,6816.781487782356,0,98.30066334448878
65,Random,18737.82513196011,15036.334469949968,21,248.1826233054836
66,Random,12753.319274656124,11732.447931906045,0,130.54270893015448
67,Random,16432.22266864953,16375.829960816056,0,166.34124612641577
68,Random,13968.411744711171,6409.622756462798,40,238.12677280855343
69,Random,17963.00260315126,12899.802603151262,28,264.1725880905098
70,Random,14618.021655455508,8322.359030928961,34,279.2328334399453
71,Random,9623.858490185768,-3777.541509814235,69,335.0787092374112
72,Random,12559.206149150325,11166.78468277516,0,140.0806436983597
73,Random,13834.67182234292,13163.00217755922,0,138.1650041538211
74,Random,14504.377878340572,5346.577878340571,48,284.1906768760645
75,Random,12990.268910580053,3432.868910580053,50,271.05476885884826
76,Random,16012.457229112342,13286.599791442864,15,229.23815656474272
77,Random,12073.812948464694,2370.675894139358,51,347.8674214014898
78,Random,14100.26305277492,6408.225232885835,41,271.1682052271538
79,Random,8993.936273492114,-4393.263726507885,69,371.459634538538
80,Random,16138.791785089576,16067.91979722312,0,165.67242379919165
81,Random,13103.789061108591,12137.242877712077,0,140.85945727605895
82,Random,9635.463959584577,-2730.269373748757,64,305.07614498335886
83,Random,15705.71239085427,14800.008695662198,4,211.26241525654183
84,Random,8081.597831205987,4632.706387804084,0,88.33979074657239
85,Random,17559.281279188697,17690.29992838145,0,193.44979212405872
86,Random,16286.51840616923,16077.41494404676,0,161.84882324180018
87,Random,16659.861573528186,13522.019833448912,18,211.84133591065677
88,Random,15728.418827799944,15628.689473786766,0,160.98461831899357
89,Random,18228.683596002327,16844.436964952674,9,221.9311498531716
90,Random,9270.225144203689,-3923.174855796311,68,310.0696225009325
91,Random,17500.198335215457,17713.280863328837,0,176.64344415275187
92,Random,11610.789367008672,1250.374441818767,54,287.3633130534851
93,Random,15439.582031781898,12088.776015027375,18,203.15821185367065
94,Random,18432.588704959257,18771.383850723745,0,189.9891469437964
95,Random,11214.81163704419,1015.2890469291632,53,273.43052713386953
96,Random,18858.12034526274,18040.992660950167,6,215.20197363565188
97,Random,12347.94893587048,11132.713827696,0,129.09302804206106
98,Random,17105.390553737776,17085.992017811135,0,189.2833480899457
99,Random,13180.395337293156,12162.273994808198,0,141.9926944404259
0,Hold Price,19600.0,19773.0,2,200.0
